step,time,environment,noise,atomic_frequency,true_detuning,excitation_probability_plus,excitation_probability_minus,measured_frequency,measured_offset,estimated_offset,servo_correction,corrected_offset,fractional_frequency
11,11.0,"{'time': 11.0, 'dt': 1.0, 'elapsed_time': 11.0, 'temperature': 300.0030366380784, 'magnetic': 5.016515641390695e-05, 'laser_power': 0.9989113655138006, 'pressure': 101325.87717482833, 'humidity': 44.94737229923315}","{'white': 2.8911939868998416e-05, 'random_walk': 1.6112874556400787e-06, 'flicker': -1.0845493953547615e-05, 'laser_phase': -5.087725424746326e-07, 'qpn': -1.4111179628783865e-14, 'temperature': 6.073276156826069e-08, 'zeeman': 8.257820695347428e-10, 'blackbody': 3.2796189193439484e-08, 'aging': 5.5000000000000004e-09, 'total': 1.92688155473363e-05}",429228004229873.0,0.0002702933598930051,0.49991508483703284,0.5000849151629672,429228004229873.0,0.00042457581483579254,0.00041283609248836617,2.0829384917386207e-05,0.0002494639749756189,9.891614961087466e-19
12,12.0,"{'time': 12.0, 'dt': 1.0, 'elapsed_time': 12.0, 'temperature': 299.99377121001527, 'magnetic': 5.0132687496367073e-05, 'laser_power': 0.9997132678937277, 'pressure': 101325.42671577392, 'humidity': 44.996838770978066}","{'white': -6.388778482433419e-05, 'random_walk': 1.336145204413395e-06, 'flicker': -2.2862380020208758e-06, 'laser_phase': -1.3780130194535039e-06, 'qpn': 2.9048350637744426e-14, 'temperature': -1.2457579969463952e-07, 'zeeman': 6.634374818353551e-10, 'blackbody': -6.726883678159714e-08, 'aging': 6.000000000000001e-09, 'total': -6.640107181134123e-05}",429228004229873.0,0.0001830629031642777,0.4999424890929543,0.5000575109070458,429228004229873.0,0.0002875545352286346,0.0003354078319122765,1.7025053454964177e-05,0.0001660378497093135,6.699342363380252e-19
13,13.0,"{'time': 13.0, 'dt': 1.0, 'elapsed_time': 13.0, 'temperature': 299.98334583518687, 'magnetic': 5.009521836847748e-05, 'laser_power': 0.9998089810315938, 'pressure': 101325.71129262412, 'humidity': 45.03246332454815}","{'white': -0.0001682869771615805, 'random_walk': 1.0012601744276201e-06, 'flicker': -1.2438488762937605e-06, 'laser_phase': 9.330018178668414e-07, 'qpn': 2.1336797393785647e-14, 'temperature': -3.3308329626265735e-07, 'zeeman': 4.760918423874009e-10, 'blackbody': -1.7985000303106308e-07, 'aging': 6.5e-09, 'total': -0.00016810252123169433}",429228004229873.0,-2.0646715223808325e-06,0.5000006486356886,0.49999935136431134,429228004229873.0,-3.2431784431630195e-06,0.00012610999717784492,6.5853837176781665e-06,-8.650055240058999e-06,-7.555840744785458e-21
14,14.0,"{'time': 14.0, 'dt': 1.0, 'elapsed_time': 14.0, 'temperature': 300.0081225496595, 'magnetic': 5.0057489310198315e-05, 'laser_power': 0.9995873560836819, 'pressure': 101326.12605471227, 'humidity': 45.0222488418131}","{'white': 7.933472351999253e-05, 'random_walk': 6.525351021791826e-07, 'flicker': -3.43122295198722e-06, 'laser_phase': 1.365511025557011e-06, 'qpn': -5.739129746448446e-15, 'temperature': 1.624509931900775e-07, 'zeeman': 2.8744655099156354e-10, 'blackbody': 8.77270990808487e-08, 'aging': 7.000000000000001e-09, 'total': 7.817901222882429e-05}",429228004229873.0,6.95289569887653e-05,0.4999781568339582,0.5000218431660418,429228004229873.0,0.000109215830209064,0.00011566882777944772,6.086459013314196e-06,6.34424979754511e-05,2.544471216527929e-19
15,15.0,"{'time': 15.0, 'dt': 1.0, 'elapsed_time': 15.0, 'temperature': 299.9874467584775, 'magnetic': 4.994243590949201e-05, 'laser_power': 0.999148262136497, 'pressure': 101326.35211399005, 'humidity': 45.02892515178037}","{'white': -0.0001275686323337922, 'random_walk': -4.807521118242981e-07, 'flicker': -7.685362086796554e-06, 'laser_phase': 7.912558992740116e-07, 'qpn': 4.272772082116957e-15, 'temperature': -2.510648304496499e-07, 'zeeman': -2.878204525399514e-10, 'blackbody': -1.3556649915103912e-07, 'aging': 7.500000000000001e-09, 'total': -0.0001353229097789195}",429228004229873.0,-7.18804118034684e-05,0.5000225818973582,0.4999774181026418,429228004229873.0,-0.00011290948679090751,-2.560033971634479e-05,-9.821194294186987e-07,-7.089829237404969e-05,-2.630524701981906e-19
16,16.0,"{'time': 16.0, 'dt': 1.0, 'elapsed_time': 16.0, 'temperature': 300.00712301965393, 'magnetic': 4.99014375675736e-05, 'laser_power': 0.9992701188752106, 'pressure': 101326.63786690723, 'humidity': 45.01287932175875}","{'white': 6.904853540677682e-05, 'random_walk': -9.080047581608323e-07, 'flicker': -6.124127422733327e-06, 'laser_phase': 9.956580355070788e-07, 'qpn': -9.280396191607152e-15, 'temperature': 1.4246039307863612e-07, 'zeeman': -4.928121621320089e-10, 'blackbody': 7.693135212593079e-08, 'aging': 8e-09, 'total': 6.323896018515179e-05}",429228004229873.0,-7.659332188897906e-06,0.5000024062501736,0.4999975937498264,429228004229873.0,-1.2031250867933219e-05,-1.7214181611657992e-05,-5.662543605066905e-07,-7.093077828391215e-06,-2.8029976491212076e-20
17,17.0,"{'time': 17.0, 'dt': 1.0, 'elapsed_time': 17.0, 'temperature': 300.00480046289, 'magnetic': 4.983820184643973e-05, 'laser_power': 0.9991250860081675, 'pressure': 101326.41424062208, 'humidity': 44.95282975304413}","{'white': 4.5677523755741146e-05, 'random_walk': -1.5699306992274835e-06, 'flicker': -7.3269839132853534e-06, 'laser_phase': -6.075547279532404e-07, 'qpn': -3.587518936767119e-14, 'temperature': 9.600925779977844e-08, 'zeeman': -8.08990767801368e-10, 'blackbody': 5.184624362516404e-08, 'aging': 8.5e-09, 'total': 3.6328600890057034e-05}",429228004229873.0,2.923552306166582e-05,0.49999081538955314,0.5000091846104469,429228004229873.0,4.592305223427573e-05,2.1806774860780155e-05,1.3891548180873731e-06,2.7846368243578446e-05,1.06989878996063e-19
18,18.0,"{'time': 18.0, 'dt': 1.0, 'elapsed_time': 18.0, 'temperature': 300.00511697972223, 'magnetic': 4.9796115557026264e-05, 'laser_power': 0.999175078767123, 'pressure': 101326.62632913908, 'humidity': 44.97609971678474}","{'white': 4.869724807855818e-05, 'random_walk': -2.0393330394302074e-06, 'flicker': -6.531814928318382e-06, 'laser_phase': 7.651320713978877e-07, 'qpn': 1.3395935280898321e-14, 'temperature': 1.0233959444462927e-07, 'zeeman': -1.01942221486869e-09, 'blackbody': 5.526479492416382e-08, 'aging': 9.000000000000001e-09, 'total': 4.1056817162757336e-05}",429228004229873.0,6.890318540633578e-05,0.4999783534258986,0.5000216465741013,429228004229873.0,0.00010823287050681918,7.522103948498175e-05,4.07491225719445e-06,6.482827314914134e-05,2.5215705741523585e-19
19,19.0,"{'time': 19.0, 'dt': 1.0, 'elapsed_time': 19.0, 'temperature': 300.00691565040273, 'magnetic': 4.9792383541864535e-05, 'laser_power': 0.9990046756727448, 'pressure': 101326.55394345084, 'humidity': 44.89221100075114}","{'white': 6.653851089727863e-05, 'random_walk': -2.137818523939631e-06, 'flicker': -7.995124995707312e-06, 'laser_phase': -1.2687547320195653e-07, 'qpn': -5.062003301874089e-14, 'temperature': 1.38313008054638e-07, 'zeeman': -1.038082290677337e-09, 'blackbody': 7.469160700511933e-08, 'aging': 9.5e-09, 'total': 5.650015838657877e-05}",429228004229873.0,0.00012132843153572011,0.4999618835491185,0.5000381164508815,429228004229873.0,0.00019058225440737875,0.0001465181912905047,7.669073485728698e-06,0.0001136593580499914,4.440116966490202e-19
20,20.0,"{'time': 20.0, 'dt': 1.0, 'elapsed_time': 20.0, 'temperature': 299.98580521898606, 'magnetic': 4.966634207437316e-05, 'laser_power': 0.9985558184753068, 'pressure': 101326.72275169518, 'humidity': 44.849092827968114}","{'white': -0.00014471124724230874, 'random_walk': -3.4605181362940334e-06, 'flicker': -1.218184663414399e-05, 'laser_phase': 6.362604430377503e-07, 'qpn': -2.7164371660801823e-14, 'temperature': -2.8389562027882677e-07, 'zeeman': -1.6682896281341978e-09, 'blackbody': -1.5329275473613738e-07, 'aging': 1e-08, 'total': -0.0001601462082615165}",429228004229873.0,-4.6486850211525086e-05,0.5000146042747092,0.49998539572529077,429228004229873.0,-7.302137354614491e-05,1.0835278346093977e-05,8.870948941773802e-07,-4.737394510570247e-05,-1.7012257547631565e-19
21,21.0,"{'time': 21.0, 'dt': 1.0, 'elapsed_time': 21.0, 'temperature': 299.9965092625657, 'magnetic': 4.980627464192058e-05, 'laser_power': 0.9984498955660107, 'pressure': 101327.05705444551, 'humidity': 44.805430087408254}","{'white': -3.781625540393897e-05, 'random_walk': -2.161289838507968e-06, 'flicker': -1.2744981826036719e-05, 'laser_phase': 1.17379248328766e-06, 'qpn': -2.8008530400296307e-14, 'temperature': -6.98147486855305e-08, 'zeeman': -9.686267903971199e-10, 'blackbody': -3.76993062918663e-08, 'aging': 1.0500000000000001e-08, 'total': -5.164671729497232e-05}",429228004229873.0,-9.90206624006748e-05,0.5000311082585351,0.49996889174146486,429228004229873.0,-0.00015554129267569827,-9.199109747703447e-05,-4.272622116474449e-06,-9.474804028420034e-05,-3.6237452156639377e-19
22,22.0,"{'time': 22.0, 'dt': 1.0, 'elapsed_time': 22.0, 'temperature': 299.99825105692173, 'magnetic': 4.9717084197171904e-05, 'laser_power': 0.9983578842497599, 'pressure': 101327.43606742534, 'humidity': 44.72295546450047}","{'white': -2.0543755786763004e-05, 'random_walk': -3.111311893418549e-06, 'flicker': -1.3165649022935859e-05, 'laser_phase': 1.3373919379668834e-06, 'qpn': -5.181961269577046e-14, 'temperature': -3.4978861565377886e-08, 'zeeman': -1.4145790141404908e-09, 'blackbody': -1.8888420070648194e-08, 'aging': 1.1000000000000001e-08, 'total': -3.552760667762032e-05}",429228004229873.0,-0.00013027564696182066,0.500040927301498,0.49995907269850204,429228004229873.0,-0.00020463650748980822,-0.00016160978954159639,-7.785878677610865e-06,-0.00012248976828420978,-4.76754791097496e-19
23,23.0,"{'time': 23.0, 'dt': 1.0, 'elapsed_time': 23.0, 'temperature': 300.0046642133285, 'magnetic': 4.9749345231489976e-05, 'laser_power': 0.9981429150594235, 'pressure': 101326.66431714964, 'humidity': 44.732102830596155}","{'white': 4.3442364354585736e-05, 'random_walk': -2.873576291086271e-06, 'flicker': -1.4819833899126245e-05, 'laser_phase': -2.3014725552278277e-06, 'qpn': 2.1638852314160852e-15, 'temperature': 9.328426657020828e-08, 'zeeman': -1.2532738425501336e-09, 'blackbody': 5.037467872390747e-08, 'aging': 1.15e-08, 'total': 2.3601387282760836e-05}",429228004229873.0,-9.888838100144894e-05,0.500031066701108,0.49996893329889197,429228004229873.0,-0.00015533350554000624,-0.00015773083270556647,-7.623477002350482e-06,-9.126490399909846e-05,-3.6189042655478136e-19
24,24.0,"{'time': 24.0, 'dt': 1.0, 'elapsed_time': 24.0, 'temperature': 299.9950395941934, 'magnetic': 4.978013249568074e-05, 'laser_power': 0.9982466953792142, 'pressure': 101327.4319202523, 'humidity': 44.72549299261058}","{'white': -5.2949270906380246e-05, 'random_walk': -2.640900079731567e-06, 'flicker': -1.3228589781596407e-05, 'laser_phase': 2.5493102829397955e-06, 'qpn': -7.180668824190728e-15, 'temperature': -9.920811613255865e-08, 'zeeman': -1.0993375215963018e-09, 'blackbody': -5.3571054022407536e-08, 'aging': 1.2000000000000002e-08, 'total': -6.641132899962566e-05}",429228004229873.0,-0.00015767623299872414,0.5000495354494423,0.4999504645505576,429228004229873.0,-0.0002476772472118083,-0.0002133207740366105,-1.0445638223710007e-05,-0.00014723059477501414,-5.770295618436973e-19
25,25.0,"{'time': 25.0, 'dt': 1.0, 'elapsed_time': 25.0, 'temperature': 299.99011409074694, 'magnetic': 4.9804656084305956e-05, 'laser_power': 0.9984443589522394, 'pressure': 101328.06287563487, 'humidity': 44.772738695054095}","{'white': -0.00010234974926218651, 'random_walk': -2.4616244447752507e-06, 'flicker': -1.0805747383577941e-05, 'laser_phase': 2.1632142118860294e-06, 'qpn': 2.5053337377437354e-14, 'temperature': -1.977181850611487e-07, 'zeeman': -9.767195784702338e-10, 'blackbody': -1.0676254256410599e-07, 'aging': 1.2500000000000001e-08, 'total': -0.00011374686430080405}",429228004229873.0,-0.0002609774590758182,0.500081988486451,0.4999180115135489,429228004229873.0,-0.00040994243225525584,-0.0003348396417400984,-1.6588549537232422e-05,-0.00024438890953858573,-9.55069166539542e-19
26,26.0,"{'time': 26.0, 'dt': 1.0, 'elapsed_time': 26.0, 'temperature': 300.003932320652, 'magnetic': 4.995684669089873e-05, 'laser_power': 0.997927759477466, 'pressure': 101327.6817423558, 'humidity': 44.73095512408274}","{'white': 3.5687105914950935e-05, 'random_walk': -9.98321553555689e-07, 'flicker': -1.56689879168344e-05, 'laser_phase': -1.0181961878773892e-06, 'qpn': -2.7797278242165745e-14, 'temperature': 7.864641303967802e-08, 'zeeman': -2.1576654550636793e-10, 'blackbody': 4.2469898058605194e-08, 'aging': 1.3e-08, 'total': 1.813550077343896e-05}",429228004229873.0,-0.00022625340876514678,0.5000710796044432,0.49992892039555675,429228004229873.0,-0.00035539802221609684,-0.0003475454196279177,-1.729334751554897e-05,-0.0002089600612495978,-8.279935575353641e-19
27,27.0,"{'time': 27.0, 'dt': 1.0, 'elapsed_time': 27.0, 'temperature': 299.9964800564144, 'magnetic': 4.9820472675416136e-05, 'laser_power': 0.9983489469769999, 'pressure': 101327.51699616012, 'humidity': 44.66279570687595}","{'white': -3.89809803155768e-05, 'random_walk': -2.3750077011119977e-06, 'flicker': -1.092633439107894e-05, 'laser_phase': -3.5367840710482776e-07, 'qpn': -4.412418883507973e-14, 'temperature': -7.039887171231386e-08, 'zeeman': -8.976366229193337e-10, 'blackbody': -3.801472166976929e-08, 'aging': 1.35e-08, 'total': -5.2731812089001745e-05}",429228004229873.0,-0.00026169187333859956,0.5000822129263081,0.49991778707369194,429228004229873.0,-0.00041106463154028106,-0.0003868024515283655,-1.9333559600877033e-05,-0.00024235831373772251,-9.576836261599917e-19
28,28.0,"{'time': 28.0, 'dt': 1.0, 'elapsed_time': 28.0, 'temperature': 299.9902369080173, 'magnetic': 4.985720987989867e-05, 'laser_power': 0.9988505629120971, 'pressure': 101328.46502168277, 'humidity': 44.815232916038795}","{'white': -0.00010155790812075416, 'random_walk': -2.0614938536618022e-06, 'flicker': -5.643068112499141e-06, 'laser_phase': 3.177895914370358e-06, 'qpn': 8.741587398021988e-14, 'temperature': -1.9526183965353996e-07, 'zeeman': -7.139506005066543e-10, 'blackbody': -1.0543624635448456e-07, 'aging': 1.4000000000000001e-08, 'total': -0.0001063719861217374}",429228004229873.0,-0.0003487302998594599,0.5001095568539355,0.4998904431460644,429228004229873.0,-0.000547784269677859,-0.0004862946867155072,-2.4405430297577217e-05,-0.0003243248695618827,-1.276208132460279e-18
29,29.0,"{'time': 29.0, 'dt': 1.0, 'elapsed_time': 29.0, 'temperature': 300.0045513375435, 'magnetic': 4.976253977149852e-05, 'laser_power': 0.9978420116261266, 'pressure': 101328.52957698029, 'humidity': 44.778281202952506}","{'white': 4.144094332759964e-05, 'random_walk': -3.0510319736936665e-06, 'flicker': -1.573899270490577e-05, 'laser_phase': 4.260760255438127e-07, 'qpn': -2.438823285930978e-14, 'temperature': 9.102675086978708e-08, 'zeeman': -1.1873011425073953e-09, 'blackbody': 4.915556407337189e-08, 'aging': 1.45e-08, 'total': 2.3230489663956432e-05}",429228004229873.0,-0.0003010943798979263,0.5000945915886282,0.4999054084113717,429228004229873.0,-0.0004729579431413111,-0.0004780521258874123,-2.4088912681349954e-05,-0.00027700546721657634,-1.1018804422835808e-18
30,30.0,"{'time': 30.0, 'dt': 1.0, 'elapsed_time': 30.0, 'temperature': 299.9962682149881, 'magnetic': 4.970845389844759e-05, 'laser_power': 0.9978795156016121, 'pressure': 101328.99197555607, 'humidity': 44.790568007265726}","{'white': -4.153572601796854e-05, 'random_walk': -3.6631287727534747e-06, 'flicker': -1.4869047866497119e-05, 'laser_phase': 1.696560229680929e-06, 'qpn': 4.7114570233603384e-15, 'temperature': -7.463570023787726e-08, 'zeeman': -1.4577305077620725e-09, 'blackbody': -4.030252611885071e-08, 'aging': 1.5000000000000002e-08, 'total': -5.847273837969124e-05}",429228004229873.0,-0.00033547820559626755,0.5001053935858336,0.4998946064141664,429228004229873.0,-0.0005269679291680651,-0.0005082837549018593,-2.570215088305268e-05,-0.00030977605471321486,-1.2277109694032161e-18
31,31.0,"{'time': 31.0, 'dt': 1.0, 'elapsed_time': 31.0, 'temperature': 299.9988499835965, 'magnetic': 4.961363490621158e-05, 'laser_power': 0.9971481983491793, 'pressure': 101328.66898209041, 'humidity': 44.79206751957949}","{'white': -1.5863483703868833e-05, 'random_walk': -4.6987825255792865e-06, 'flicker': -2.1755557803369193e-05, 'laser_phase': -7.739830759370459e-07, 'qpn': -1.6134765245496146e-15, 'temperature': -2.3000328070565957e-08, 'zeeman': -1.931825468942128e-09, 'blackbody': -1.2420105741214752e-08, 'aging': 1.55e-08, 'total': -4.311365936964856e-05}",429228004229873.0,-0.0003528897140828634,0.5001108635724205,0.49988913642757943,429228004229873.0,-0.0005543178621027212,-0.0005367343977937482,-2.7232029907205872e-05,-0.00032565768417565756,-1.2914298616123292e-18
32,32.0,"{'time': 32.0, 'dt': 1.0, 'elapsed_time': 32.0, 'temperature': 300.0181301754773, 'magnetic': 4.9638253311172515e-05, 'laser_power': 0.9977821581872319, 'pressure': 101328.34595464934, 'humidity': 44.73697898086705}","{'white': 0.0001767929913579883, 'random_walk': -4.568508004106401e-06, 'flicker': -1.4666304467916987e-05, 'laser_phase': -7.946536257153257e-07, 'qpn': -3.5548312992510736e-14, 'temperature': 3.626035095464886e-07, 'zeeman': -1.8087334441374352e-09, 'blackbody': 1.9582364584646226e-07, 'aging': 1.6e-08, 'total': 0.0001573361436466501}",429228004229873.0,-0.00016832154052900746,0.500052879771418,0.4999471202285819,429228004229873.0,-0.00026439885709023114,-0.0003684217772943942,-1.889008323769705e-05,-0.00014943145729131042,-6.159869684286311e-19
33,33.0,"{'time': 33.0, 'dt': 1.0, 'elapsed_time': 33.0, 'temperature': 299.99081425309146, 'magnetic': 4.957658310538376e-05, 'laser_power': 0.9989572851440879, 'pressure': 101327.86834221674, 'humidity': 44.78416386143653}","{'white': -9.65116762232372e-05, 'random_walk': -5.2937340686421545e-06, 'flicker': -2.557325358949468e-06, 'laser_phase': -1.307277501883981e-06, 'qpn': 2.5154676112090347e-14, 'temperature': -1.837149381708514e-07, 'zeeman': -2.1170844730811995e-09, 'blackbody': -9.920151029615402e-08, 'aging': 1.6500000000000002e-08, 'total': -0.0001059385466604982}",429228004229873.0,-0.0002553700039518086,0.500080226852492,0.49991977314750813,429228004229873.0,-0.0004011342624596348,-0.0003886392049829896,-1.997868246312342e-05,-0.00023539132148868517,-9.345482086597672e-19
34,34.0,"{'time': 34.0, 'dt': 1.0, 'elapsed_time': 34.0, 'temperature': 299.9914506933027, 'magnetic': 4.968244291350968e-05, 'laser_power': 0.9992018963699364, 'pressure': 101327.73265642357, 'humidity': 44.78644245790103}","{'white': -9.029271780870264e-05, 'random_walk': -4.36216105576791e-06, 'flicker': -3.7683799252520627e-07, 'laser_phase': -2.492969568780751e-07, 'qpn': -1.2228757840630206e-15, 'temperature': -1.7098613394637144e-07, 'zeeman': -1.5877854324516253e-09, 'blackbody': -9.232856551122666e-08, 'aging': 1.7e-08, 'total': -9.552891629998676e-05}",429228004229873.0,-0.00033092023778867195,0.5001039616580469,0.499896038341953,429228004229873.0,-0.0005198082902348189,-0.00046970615794185265,-2.4125971342654944e-05,-0.000306794266446017,-1.2110306995636651e-18
